,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,original_language,prod1,country,budget,runtime,rating,lead_actor,lead_actress,director1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Pixar Animation Studios,US,30000000,81.0,3.8881574960610834,Tom Hanks,Annie Potts,John Lasseter
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,en,TriStar Pictures,US,65000000,104.0,3.2369531849577897,Robin Williams,Kirsten Dunst,Joe Johnston
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Warner Bros.,US,0,101.0,3.1755501064722202,Walter Matthau,Ann-Margret,Howard Deutch
3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Twentieth Century Fox Film Corporation,US,16000000,127.0,2.8757128480375713,Gregory Hines,Whitney Houston,Forest Whitaker
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Sandollar Productions,US,0,106.0,3.079564818455892,Steve Martin,Diane Keaton,Charles Shyer
5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Regency Enterprises,US,60000000,170.0,3.841763756945689,Al Pacino,Diane Venora,Michael Mann
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Paramount Pictures,DE,58000000,127.0,3.372105297882167,Harrison Ford,Julia Ormond,Sydney Pollack
7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Walt Disney Pictures,US,0,97.0,3.1291913214990137,Jonathan Taylor Thomas,Rachael Leigh Cook,Peter Hewitt
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Universal Pictures,US,35000000,106.0,3.008365362875876,Jean-Claude Van Damme,Whittni Wright,Peter Hyams
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,United Artists,GB,58000000,130.0,3.431840536054589,Pierce Brosnan,Izabella Scorupco,Martin Campbell
10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Columbia Pictures,US,62000000,106.0,3.6605905006418484,Michael Douglas,Annette Bening,Rob Reiner
11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,en,Columbia Pictures,FR,0,88.0,2.6721787709497207,Leslie Nielsen,Amy Yasbeck,Mel Brooks
12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Universal Pictures,US,0,78.0,3.326441784548422,Kevin Bacon,Bridget Fonda,Simon Wells
13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,en,Hollywood Pictures,US,44000000,192.0,3.4308065226972233,Anthony Hopkins,Joan Allen,Oliver Stone
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Le Studio Canal+,FR,98000000,119.0,2.72704,Matthew Modine,Geena Davis,Renny Harlin
